"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"229","TTF1",1.022,0.153,1.862,0.479,0.269,0.0871,229,1.05998184499234
"230","SSU72",0.93,0.176,1.466,0.499,0.269,0.0871,230,1.05998184499234
"231","MBD3",1.061,0.144,0.698,0.524,0.271,0.09,231,1.04575749056068
"232","ZNF506",0.752,0.226,2.033,0.482,0.272,0.0907,232,1.0423927129399
"233","FOXO1",0.609,0.271,0.956,0.539,0.273,0.0914,233,1.03905380426617
"234","ZEB1",1.02,0.154,0.248,0.546,0.274,0.0929,234,1.03198428600636
"235","L3MBTL4",0.982,0.163,1.173,0.504,0.275,0.0936,235,1.02872415126189
"236","SSRP1",0.016,0.494,1.305,0.562,0.275,0.094,236,1.0268721464003
"237","KLF4",1.013,0.156,1.159,0.503,0.276,0.0951,237,1.02181948306259
"238","SOX11",0.514,0.304,1.849,0.5,0.277,0.0954,238,1.0204516252959
"239","CNOT3",1.219,0.111,0.787,0.506,0.279,0.0973,239,1.01188715973165
"240","REPIN1",0.526,0.299,1.256,0.521,0.279,0.0973,240,1.01188715973165
"241","KDM1B",0.667,0.252,2.226,0.475,0.279,0.0981,241,1.00833099262005
"242","RBL1",0.877,0.19,1.528,0.494,0.279,0.0981,242,1.00833099262005
"243","TSC22D4",-0.218,0.586,1.115,0.653,0.28,0.0984,243,1.00700490156866
"244","ZNF490",0.666,0.253,2.234,0.474,0.28,0.0984,244,1.00700490156866
"245","TRAF7",1.413,0.0788,-0.053,0.528,0.28,0.0988,245,1.00524305541237
"246","GRHL3",1.172,0.121,1.292,0.488,0.28,0.0988,246,1.00524305541237
"247","FOSL1",1.08,0.14,0.783,0.513,0.281,0.1,247,1
"248","SP7",1.129,0.129,1.365,0.487,0.282,0.101,248,0.995678626217357
"249","ZNF445",0.764,0.222,1.826,0.483,0.282,0.101,249,0.995678626217357
"250","E2F7",1.023,0.153,0.633,0.519,0.284,0.103,250,0.987162775294828
"251","E2F2",0.894,0.186,1.365,0.495,0.285,0.104,251,0.98296666070122
"252","KDM5B",1.166,0.122,0.022,0.538,0.287,0.106,252,0.97469413473523
"253","PARP1",0.624,0.267,2.238,0.471,0.288,0.108,253,0.96657624451305
