"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"191","TERF2",1.096,0.137,1.548,0.495,0.219,0.0472,191,1.32605800136591
"192","CBX2",1.177,0.12,1.28,0.503,0.219,0.0472,192,1.32605800136591
"193","ZNF793",0.932,0.176,2.027,0.474,0.219,0.0475,193,1.32330639037513
"194","ZNF92",0.923,0.178,1.894,0.481,0.22,0.0477,194,1.32148162095989
"195","ZNF140",0.625,0.266,2.108,0.481,0.221,0.0489,195,1.31069114087638
"196","CDCA2",0.918,0.179,1.867,0.481,0.223,0.0501,196,1.30016227413275
"197","MAFK",1.128,0.13,1.757,0.477,0.225,0.051,197,1.29242982390206
"198","ZNF292",0.752,0.226,2.226,0.469,0.227,0.0525,198,1.27984069659404
"199","HES2",3.147,0.000825,0.949,0.474,0.228,0.053,199,1.27572413039921
"200","HMBOX1",0.842,0.2,1.962,0.475,0.228,0.0533,200,1.27327279097343
"201","CLOCK",0.482,0.315,2.196,0.478,0.228,0.0535,201,1.27164621797877
"202","RNF2",1.187,0.118,0.615,0.528,0.23,0.0548,202,1.26121944151563
"203","MBD4",0.927,0.177,1.722,0.481,0.231,0.0553,203,1.2572748686953
"204","MAFG",0.976,0.165,2.037,0.467,0.232,0.0558,204,1.25336580106242
"205","ZNF485",0.772,0.22,2.135,0.47,0.232,0.0558,205,1.25336580106242
"206","SIRT6",0.871,0.192,1.852,0.478,0.232,0.0564,206,1.24872089601666
"207","CUX1",0.706,0.24,1.183,0.521,0.234,0.0579,207,1.23732143627256
"208","JUNB",0.698,0.243,0.885,0.541,0.235,0.0582,208,1.23507701535011
"209","FOXP1",0.566,0.286,0.859,0.556,0.236,0.059,209,1.22914798835786
"210","FOXH1",1.02,0.154,1.82,0.473,0.237,0.0596,210,1.22475374025976
"211","ZNF490",0.689,0.245,2.265,0.465,0.237,0.0596,211,1.22475374025976
"212","EOMES",1.182,0.119,1.742,0.469,0.238,0.0607,212,1.21681130892474
"213","NKX3-1",0.912,0.181,2.041,0.464,0.239,0.0612,213,1.21324857785444
"214","RELB",1.198,0.115,1.408,0.478,0.24,0.062,214,1.20760831050175
"215","LARP7",0.496,0.31,1.627,0.503,0.24,0.062,215,1.20760831050175
"216","CTCFL",0.942,0.173,0.097,0.578,0.24,0.062,216,1.20760831050175
"217","TRIM28",0.252,0.401,1.685,0.516,0.24,0.0626,217,1.20342566678957
"218","ILK",0.871,0.192,2.062,0.46,0.242,0.0637,218,1.19586056766465
"219","SMARCC1",0.731,0.233,0.465,0.554,0.244,0.0652,219,1.18575240426808
"220","ARID1A",1.052,0.146,1.851,0.466,0.244,0.0654,220,1.18442225167573
"221","ZNF680",0.753,0.226,1.978,0.47,0.244,0.0657,221,1.18243463044022
"222","ZNF207",0.364,0.358,2.041,0.482,0.244,0.0657,222,1.18243463044022
"223","NUP98-HOXA9",0.879,0.19,1.617,0.478,0.246,0.0666,223,1.1765257708297
"224","SMARCE1",0.815,0.207,1.872,0.471,0.247,0.0675,224,1.17069622716898
"225","ZNF202",0.624,0.266,1.009,0.524,0.247,0.0675,225,1.17069622716898
"226","LMNB1",0.788,0.215,1.874,0.471,0.247,0.0675,226,1.17069622716898
"227","SRCAP",0.656,0.256,2.161,0.462,0.248,0.069,227,1.16115090926274
"228","ZNF75D",0.74,0.23,2.078,0.46,0.25,0.0702,228,1.15366288787019
"229","FAIRE",0.712,0.238,0.899,0.512,0.255,0.0745,229,1.12784372725171
"230","TCF7L2",0.414,0.339,0.849,0.54,0.256,0.0758,230,1.12033079436795
"231","PAX5",1.404,0.0801,0.883,0.48,0.258,0.0774,231,1.11125903931711
"232","RFX1",0.893,0.186,1.539,0.474,0.259,0.078,232,1.10790539730952
"233","ZNF707",0.37,0.356,1.707,0.49,0.259,0.0784,233,1.10568393731556
"234","TEAD1",1.369,0.0855,1.344,0.467,0.26,0.0787,234,1.10402526764094
"235","PARP1",0.564,0.286,2.164,0.455,0.26,0.0793,235,1.1007268126824
"236","ZNF22",0.68,0.248,1.965,0.464,0.262,0.081,236,1.09151498112135
"237","NFKB2",0.995,0.16,1.35,0.474,0.263,0.0817,237,1.08777794346758
"238","MITF",0.791,0.215,1.596,0.472,0.263,0.082,238,1.08618614761628
"239","DPPA2",0.714,0.238,1.857,0.466,0.263,0.0823,239,1.08460016478773
"240","SP140",1.044,0.148,1.187,0.478,0.264,0.083,240,1.08092190762393
"241","CTNNB1",0.795,0.213,1.548,0.472,0.265,0.084,241,1.07572071393812
"242","ELF3",1.11,0.133,1.284,0.471,0.268,0.0868,242,1.06148027482351
"243","CEBPD",0.49,0.312,0.581,0.53,0.272,0.0903,243,1.04431224968649
"244","ZNF766",0.783,0.217,1.8,0.457,0.272,0.0907,244,1.0423927129399
"245","SMARCA5",0.784,0.217,1.635,0.466,0.273,0.0918,245,1.03715731879876
"246","SMN1",0.518,0.302,2.069,0.452,0.273,0.0918,246,1.03715731879876
"247","MEF2A",0.793,0.214,1.005,0.487,0.274,0.0921,247,1.03574036980315
"248","ZNF597",0.875,0.191,1.148,0.478,0.274,0.0925,248,1.03385826726097
"249","SSU72",0.818,0.207,1.324,0.474,0.274,0.0929,249,1.03198428600636
"250","TAT",0.794,0.214,1.39,0.472,0.275,0.094,250,1.0268721464003
"251","SMAD4",0.411,0.341,0.652,0.528,0.276,0.0951,251,1.02181948306259
"252","RARA",0.187,0.426,0.718,0.55,0.277,0.0954,252,1.0204516252959
"253","ATF7IP",0.23,0.409,1.991,0.472,0.277,0.0954,253,1.0204516252959
"254","MYBL2",0.781,0.217,1.454,0.471,0.277,0.0954,254,1.0204516252959
"255","STAT3",0.748,0.227,0.343,0.515,0.279,0.0973,255,1.01188715973165
"256","ZNF318",0.924,0.178,1.025,0.477,0.279,0.0981,256,1.00833099262005
"257","TRAF7",1.032,0.151,-0.419,0.534,0.281,0.1,257,1
"258","MBD1",1.092,0.138,0.462,0.49,0.282,0.101,258,0.995678626217357
"259","EBNA2",0.78,0.218,1.38,0.471,0.282,0.101,259,0.995678626217357
"260","PRDM6",0.794,0.214,1.206,0.472,0.286,0.105,260,0.978810700930062
"261","JUN",0.488,0.313,0.415,0.519,0.29,0.11,261,0.958607314841775
"262","PYGO2",0.717,0.237,1.655,0.453,0.291,0.111,262,0.954677021213343
"263","PKNOX1",0.705,0.241,1.652,0.454,0.293,0.113,263,0.94692155651658
"264","ZFP28",0.602,0.274,1.764,0.451,0.294,0.114,264,0.943095148663527
"265","PITX3",0.574,0.283,1.69,0.456,0.294,0.115,265,0.939302159646388
"266","CHD7",0.528,0.299,0.75,0.494,0.295,0.116,266,0.935542010773082
"267","CBX3",0.36,0.36,1.833,0.462,0.297,0.117,267,0.931814138253838
"268","MEF2D",0.729,0.233,1.444,0.454,0.301,0.123,268,0.910094888560602
"269","TFAP4",0.711,0.239,0.906,0.476,0.302,0.124,269,0.906578314837765
"270","RUNX2",0.29,0.386,1.216,0.486,0.302,0.124,270,0.906578314837765
"271","KMT2A",0.786,0.216,-0.528,0.53,0.302,0.124,271,0.906578314837765
"272","SF1",0.403,0.343,2.001,0.443,0.303,0.125,272,0.903089986991944
"273","EWSR1",0.267,0.395,1.01,0.494,0.304,0.126,273,0.899629454882437
"274","ZNF48",0.363,0.358,2.048,0.439,0.306,0.129,274,0.889410289700751
"275","PTRF",0.547,0.292,1.735,0.446,0.306,0.129,275,0.889410289700751
"276","CDX2",0.537,0.296,1.367,0.465,0.307,0.13,276,0.886056647693163
"277","HCFC1R1",0.61,0.271,1.371,0.459,0.31,0.133,277,0.876148359032914
"278","ZNF274",0.278,0.39,1.99,0.444,0.312,0.137,278,0.863279432843593
"279","GFI1B",0.146,0.442,0.894,0.499,0.314,0.14,279,0.853871964321762
"280","YAP1",0.621,0.267,0.739,0.477,0.315,0.141,280,0.85078088734462
"281","SOX13",0.641,0.261,0.964,0.469,0.316,0.142,281,0.847711655616944
"282","DDX20",0.627,0.265,0.931,0.47,0.317,0.143,282,0.844663962534938
"283","PTTG1",0.557,0.289,1.586,0.446,0.317,0.144,283,0.84163750790475
"284","TTF1",0.632,0.264,1.391,0.448,0.318,0.145,284,0.838631997765025
"285","ZNF781",0.357,0.361,1.756,0.448,0.318,0.145,285,0.838631997765025
"286","PBX3",0.341,0.367,0.486,0.5,0.318,0.145,286,0.838631997765025
"287","IRF9",0.594,0.276,1.543,0.445,0.319,0.146,287,0.835647144215563
"288","NFE2L1",0.481,0.315,1.254,0.465,0.32,0.147,288,0.832682665251824
"289","GRHL3",0.694,0.244,0.914,0.467,0.32,0.147,289,0.832682665251824
"290","WRNIP1",0.742,0.229,0.756,0.468,0.322,0.15,290,0.823908740944319
"291","ZNF823",0.409,0.341,1.735,0.443,0.322,0.15,291,0.823908740944319
"292","SCRT2",0.6,0.274,1.412,0.446,0.323,0.151,292,0.821023052706831
"293","POU2F2",0.65,0.258,0.584,0.475,0.323,0.152,293,0.818156412055227
"294","ZBTB48",0.345,0.365,0.451,0.497,0.324,0.152,294,0.818156412055227
"295","TEAD2",0.559,0.288,1.476,0.446,0.324,0.152,295,0.818156412055227
"296","ZNF563",0.451,0.326,1.593,0.446,0.324,0.152,296,0.818156412055227
"297","TFAP2A",0.517,0.303,0.748,0.474,0.326,0.156,297,0.806875401645538
"298","SIX1",0.63,0.264,1.333,0.446,0.326,0.156,298,0.806875401645538
"299","JUND",-0.085,0.534,0.4,0.53,0.328,0.159,299,0.798602875679548
"300","HES1",0.194,0.423,0.879,0.486,0.328,0.159,300,0.798602875679548
"301","CHRM2",0.362,0.359,0.115,0.505,0.329,0.16,301,0.795880017344075
"302","DLX2",0.51,0.305,1.237,0.451,0.332,0.165,302,0.782516055786094
"303","ATF4",0.436,0.331,1.317,0.452,0.333,0.165,303,0.782516055786094
"304","PRDM12",0.291,0.386,1.911,0.433,0.334,0.168,304,0.774690718274137
"305","ZFP41",0.358,0.36,1.661,0.442,0.334,0.168,305,0.774690718274137
"306","ZNF2",0.473,0.318,0.06,0.496,0.334,0.168,306,0.774690718274137
"307","ZNF133",0.342,0.366,1.75,0.437,0.335,0.169,307,0.772113295386326
"308","PRDM14",0.518,0.302,1.123,0.452,0.337,0.172,308,0.764471553092451
"309","ATF3",0.17,0.432,0.066,0.512,0.339,0.175,309,0.756961951313706
"310","DPF2",0.239,0.406,1.207,0.462,0.343,0.181,310,0.742321425130815
"311","RBPJ",0.035,0.486,-0.385,0.547,0.346,0.186,311,0.730487055782084
"312","SMAD3",0.125,0.45,0.558,0.488,0.346,0.186,312,0.730487055782084
"313","ZNF16",0.096,0.462,1.092,0.47,0.35,0.193,313,0.714442690992226
