"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"249","ZNF440",0.718,0.236,2.469,0.402,0.28,0.0992,249,1.00348832784582
"250","ZMYM3",1.312,0.0948,1.046,0.431,0.281,0.0996,250,1.0017406615763
"251","JMJD1C",1.119,0.132,0.883,0.449,0.281,0.1,251,1
"252","ZNF136",0.681,0.248,2.669,0.398,0.281,0.1,252,1
"253","ATF2",0.808,0.21,1.293,0.442,0.285,0.105,253,0.978810700930062
"254","ZNF585A",0.782,0.217,2.059,0.407,0.286,0.105,254,0.978810700930062
"255","IRF1",1.485,0.0687,0.634,0.434,0.292,0.112,255,0.950781977329818
"256","ZNF2",0.947,0.172,0.762,0.456,0.293,0.113,256,0.94692155651658
"257","IRF4",0.951,0.171,0.926,0.444,0.294,0.115,257,0.939302159646388
"258","RELB",1.106,0.134,1.33,0.408,0.295,0.116,258,0.935542010773082
"259","BATF",1.327,0.0922,1.16,0.409,0.295,0.116,259,0.935542010773082
"260","NR4A1",0.953,0.17,1.427,0.416,0.295,0.116,260,0.935542010773082
"261","MAF",0.284,0.388,0.797,0.529,0.296,0.117,261,0.931814138253838
"262","ZNF707",0.758,0.224,2.065,0.402,0.297,0.117,262,0.931814138253838
"263","ZNF182",0.784,0.217,1.895,0.407,0.297,0.117,263,0.931814138253838
"264","DRAP1",1.015,0.155,1.048,0.432,0.297,0.118,264,0.928117992693875
"265","TRAF7",1.443,0.0745,-0.025,0.461,0.298,0.119,265,0.924453038607469
"266","ZNF354C",0.674,0.25,2.341,0.398,0.299,0.12,266,0.920818753952375
"267","ZNF479",0.789,0.215,1.823,0.408,0.299,0.12,267,0.920818753952375
"268","BRD9",1.044,0.148,1.119,0.421,0.299,0.121,268,0.91721462968355
"269","RXRA",1.223,0.111,0.809,0.428,0.302,0.124,269,0.906578314837765
"270","CENPC",0.649,0.258,2.463,0.396,0.302,0.124,270,0.906578314837765
"271","ARID1A",0.77,0.221,1.597,0.418,0.304,0.127,271,0.896196279044043
"272","CTCFL",0.972,0.166,0.123,0.473,0.304,0.127,272,0.896196279044043
"273","ZNF780A",0.67,0.251,2.293,0.398,0.304,0.127,273,0.896196279044043
"274","BATF3",0.925,0.177,1.169,0.421,0.305,0.128,274,0.892790030352132
"275","ZNF534",0.904,0.183,1.187,0.419,0.308,0.131,275,0.882728704344236
"276","PRMT1",0.976,0.165,1.279,0.41,0.308,0.132,276,0.87942606879415
"277","ZNF770",0.762,0.223,1.791,0.405,0.31,0.134,277,0.872895201635192
"278","ELF3",1.053,0.146,1.218,0.405,0.315,0.14,278,0.853871964321762
"279","ZNF292",0.661,0.255,2.112,0.397,0.315,0.141,279,0.85078088734462
"280","EGR3",0.84,0.2,1.294,0.413,0.315,0.141,280,0.85078088734462
"281","TCF7L2",0.536,0.296,0.99,0.458,0.316,0.142,281,0.847711655616944
"282","ZNF768",0.729,0.233,1.774,0.403,0.317,0.143,282,0.844663962534938
"283","PSIP1",0.692,0.244,1.057,0.437,0.318,0.145,283,0.838631997765025
"284","ZNF362",0.893,0.186,1.652,0.398,0.318,0.145,284,0.838631997765025
"285","CNOT3",1.168,0.122,0.741,0.418,0.32,0.147,285,0.832682665251824
"286","ETV6",0.71,0.239,1.01,0.435,0.322,0.151,286,0.821023052706831
"287","ZNF429",0.584,0.28,2.317,0.389,0.323,0.151,287,0.821023052706831
"288","NFKB2",0.901,0.184,1.255,0.404,0.325,0.154,288,0.812479279163537
"289","LRWD1",0.545,0.293,2.379,0.386,0.325,0.154,289,0.812479279163537
"290","ZNF366",0.771,0.22,1.254,0.412,0.326,0.157,290,0.804100347590766
"291","ZBTB42",0.753,0.226,1.505,0.405,0.327,0.158,291,0.801342913045577
"292","REPIN1",0.541,0.294,1.274,0.43,0.328,0.159,292,0.798602875679548
"293","PAX6",0.483,0.315,1.878,0.404,0.33,0.162,293,0.790484985457369
"294","BANP",0.425,0.336,1.576,0.421,0.33,0.162,294,0.790484985457369
"295","HMBOX1",0.694,0.244,1.705,0.399,0.33,0.162,295,0.790484985457369
"296","RUNX1T1",0.903,0.183,0.769,0.42,0.334,0.167,296,0.777283528852417
"297","ZNF664",0.783,0.217,1.713,0.391,0.335,0.169,297,0.772113295386326
"298","FOSL1",0.952,0.171,0.708,0.419,0.335,0.17,298,0.769551078621726
"299","ZNF101",0.347,0.364,1.312,0.433,0.336,0.17,299,0.769551078621726
"300","ZNF488",0.65,0.258,2.031,0.386,0.336,0.17,300,0.769551078621726
"301","MKL2",1.203,0.115,0.533,0.41,0.337,0.172,301,0.764471553092451
"302","TEAD1-TEAD4",0.733,0.232,1.301,0.403,0.339,0.176,302,0.75448733218585
"303","CHRM2",0.58,0.281,0.435,0.459,0.34,0.178,303,0.749579997691106
"304","CBX6",0.872,0.192,0.826,0.416,0.34,0.178,304,0.749579997691106
