"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"171","DACOR1",0.907,0.182,2.538,0.43,0.204,0.0383,171,1.41680122603138
"172","TOP1",1.494,0.0676,1.332,0.462,0.205,0.0389,172,1.41005039867429
"173","HCFC1R1",1.081,0.14,1.887,0.448,0.209,0.041,173,1.38721614328026
"174","SMN1",0.893,0.186,2.522,0.428,0.209,0.0412,174,1.38510278396687
"175","ZNF563",0.93,0.176,2.25,0.433,0.21,0.0416,175,1.38090666937326
"176","NR2F6",1.514,0.0651,2.02,0.422,0.21,0.0419,176,1.3777859770337
"177","TTF1",1.212,0.113,2.091,0.425,0.212,0.0429,177,1.36754270781528
"178","ZNF770",0.942,0.173,2.126,0.434,0.214,0.0438,178,1.3585258894959
"179","ZNF766",0.905,0.183,1.991,0.447,0.214,0.044,179,1.35654732351381
"180","FEZF1",1.344,0.0895,1.953,0.425,0.215,0.0445,180,1.35163998901907
"181","EGR3",1.109,0.134,1.676,0.451,0.219,0.047,181,1.32790214206428
"182","NFIC",1.168,0.121,1.719,0.444,0.219,0.0472,182,1.32605800136591
"183","FOXO1",1.098,0.136,1.303,0.472,0.219,0.0472,183,1.32605800136591
"184","BAHD1",1.005,0.158,2.457,0.416,0.22,0.0482,184,1.31695296176115
"185","ELF3",1.377,0.0842,1.591,0.441,0.22,0.0482,185,1.31695296176115
"186","SFPQ",0.817,0.207,2.633,0.42,0.222,0.0493,186,1.30715308072277
"187","RXRA",1.823,0.0342,1.163,0.447,0.223,0.0496,187,1.3045183235098
"188","RYBP",1.729,0.0419,0.452,0.494,0.223,0.0501,188,1.30016227413275
"189","TRIM28",0.846,0.199,1.984,0.445,0.224,0.0506,189,1.2958494831602
"190","IRF4",1.386,0.0829,1.205,0.456,0.225,0.0513,190,1.28988263488818
"191","ARID1A",0.751,0.226,1.58,0.477,0.225,0.0513,191,1.28988263488818
"192","NFKB2",1.256,0.105,1.613,0.439,0.227,0.0528,192,1.27736607746619
"193","PRDM14",0.995,0.16,1.82,0.44,0.228,0.053,193,1.27572413039921
"194","GLIS1",1.46,0.0721,1.424,0.439,0.228,0.0533,194,1.27327279097343
"195","CEBPA",0.8,0.212,0.699,0.554,0.23,0.0551,195,1.25884840114821
"196","BCL11A",0.665,0.253,1.243,0.497,0.232,0.0558,196,1.25336580106242
"197","ZNF320",1.175,0.12,2.129,0.411,0.232,0.0561,197,1.25103713874384
"198","RELB",1.455,0.0728,1.624,0.424,0.234,0.0579,198,1.23732143627256
"199","DAXX",1.225,0.11,1.726,0.425,0.235,0.0585,199,1.23284413391782
"200","BRDU",0.928,0.177,1.849,0.433,0.237,0.0596,200,1.22475374025976
"201","LYL1",1.636,0.0509,1.312,0.428,0.237,0.0601,201,1.22112552799726
"202","NFIA",1.011,0.156,1.905,0.424,0.239,0.0612,202,1.21324857785444
"203","DRAP1",1.133,0.129,1.243,0.454,0.239,0.0618,203,1.20901152491118
"204","STAT4",0.696,0.243,1.514,0.47,0.241,0.0629,204,1.20134935455473
"205","FLI1",1.096,0.137,0.72,0.489,0.241,0.0632,205,1.19928292171761
"206","EWSR1",0.566,0.286,1.35,0.486,0.242,0.0634,206,1.19791074211827
"207","NR1H3",1.556,0.0598,1.51,0.422,0.242,0.064,207,1.19382002601611
"208","ILK",0.986,0.162,2.174,0.411,0.242,0.064,208,1.19382002601611
"209","PTTG1",1.031,0.151,2.043,0.413,0.243,0.0646,209,1.18976748200492
"210","ATF3",1.113,0.133,1.015,0.469,0.244,0.0654,210,1.18442225167573
"211","PARP1",0.767,0.222,2.416,0.414,0.245,0.066,211,1.18045606445813
"212","ZFP28",0.969,0.166,2.074,0.413,0.246,0.0672,212,1.17263072694617
"213","ZNF506",0.812,0.208,2.12,0.419,0.247,0.0678,213,1.16877030613294
"214","KLF4",0.847,0.199,1.028,0.481,0.247,0.0681,214,1.16685288808721
"215","IKZF2",1.206,0.114,1.421,0.433,0.248,0.0687,215,1.16304326294045
"216","KDM4A",1.497,0.0672,0.87,0.454,0.249,0.0699,216,1.15552282425432
"217","RCOR1",0.578,0.282,1.228,0.482,0.251,0.0714,217,1.14630178822383
"218","CREBBP",0.523,0.3,0.874,0.529,0.251,0.0714,218,1.14630178822383
"219","HMBOX1",0.846,0.199,1.969,0.423,0.251,0.0714,219,1.14630178822383
"220","GRIP1",0.989,0.161,1.252,0.446,0.253,0.0729,220,1.13727247168203
"221","ZNF366",0.93,0.176,1.569,0.435,0.253,0.0729,221,1.13727247168203
"222","ZBTB42",0.881,0.189,1.732,0.427,0.254,0.0739,222,1.13135556160517
"223","ATF7IP",0.5,0.309,2.457,0.421,0.255,0.0745,223,1.12784372725171
"224","ARID3A",1.222,0.111,1.578,0.42,0.255,0.0745,224,1.12784372725171
"225","MITF",0.99,0.161,1.777,0.417,0.257,0.0761,225,1.11861534322943
"226","GRHL3",1.343,0.0896,1.428,0.419,0.257,0.0764,226,1.11690664142431
"227","TCF7L1",1.267,0.103,1.198,0.432,0.258,0.0774,227,1.11125903931711
"228","SOX4",1.273,0.102,1.454,0.418,0.26,0.0787,228,1.10402526764094
"229","CTCFL",1.224,0.11,0.341,0.48,0.262,0.081,229,1.09151498112135
"230","ZNF425",0.798,0.212,1.943,0.417,0.263,0.0817,230,1.08777794346758
"231","TCF7",0.681,0.248,1.634,0.439,0.265,0.0833,231,1.07935499859321
"232","JUNB",0.895,0.185,1.065,0.455,0.265,0.084,232,1.07572071393812
"233","CHRM2",0.788,0.215,0.741,0.485,0.266,0.0844,233,1.07365755337434
"234","ATF2",0.842,0.2,1.337,0.442,0.266,0.0851,234,1.07007043991541
"235","ZNF800",0.851,0.197,2.199,0.401,0.267,0.0861,235,1.06499684854635
"236","ZNF26",0.702,0.241,2.256,0.407,0.268,0.0864,236,1.06348625752111
"237","DNMT3A",0.892,0.186,0.982,0.46,0.268,0.0868,237,1.06148027482351
"238","PRDM10",1.118,0.132,1.545,0.417,0.268,0.0868,238,1.06148027482351
"239","STAT1",1.216,0.112,0.416,0.471,0.269,0.0871,239,1.05998184499234
"240","TRIM22",1.25,0.106,1.107,0.428,0.27,0.0889,240,1.05109823902979
"241","CHD7",0.744,0.228,0.969,0.472,0.27,0.0889,241,1.05109823902979
"242","ZNF362",0.96,0.169,1.782,0.41,0.272,0.0907,242,1.0423927129399
"243","KMT2B",0.897,0.185,1.387,0.429,0.272,0.091,243,1.04095860767891
"244","PTRF",0.865,0.194,2.05,0.401,0.274,0.0929,244,1.03198428600636
"245","ZNF554",0.719,0.236,2.082,0.409,0.275,0.0936,245,1.02872415126189
"246","ZFAT",0.844,0.2,1.612,0.422,0.275,0.0936,246,1.02872415126189
"247","MTA2",1.12,0.131,1.207,0.424,0.275,0.094,247,1.0268721464003
"248","CHD8",0.627,0.265,1.309,0.449,0.277,0.0954,248,1.0204516252959
"249","ZNF445",0.768,0.221,1.831,0.414,0.277,0.0958,249,1.01863449092146
"250","MAF",0.34,0.367,0.88,0.512,0.278,0.0966,250,1.01502287358451
"251","ZNF134",0.659,0.255,2.201,0.403,0.279,0.0973,251,1.01188715973165
"252","ZNF534",0.914,0.181,1.205,0.431,0.28,0.0984,252,1.00700490156866
"253","ZNF664",0.874,0.191,1.88,0.403,0.281,0.1,253,1
"254","ZNF133",0.647,0.259,2.231,0.402,0.283,0.102,254,0.991399828238082
"255","ZNF479",0.747,0.228,1.737,0.412,0.286,0.105,255,0.978810700930062
"256","ZNF549",0.594,0.276,2.313,0.396,0.286,0.105,256,0.978810700930062
"257","TCF7L2",0.57,0.284,1.031,0.461,0.287,0.107,257,0.97061622231479
"258","NR1H2",1.324,0.0927,1.171,0.411,0.289,0.108,258,0.96657624451305
"259","ZNF467",0.914,0.18,1.089,0.431,0.289,0.108,259,0.96657624451305
"260","SND1",0.934,0.175,1.055,0.429,0.291,0.111,260,0.954677021213343
"261","PGBD3",0.87,0.192,1.176,0.425,0.292,0.112,261,0.950781977329818
"262","ZNF331",0.567,0.285,2.242,0.394,0.297,0.117,262,0.931814138253838
"263","DPF2",0.64,0.261,1.723,0.411,0.3,0.122,263,0.913640169325252
"264","GFI1B",0.637,0.262,1.713,0.409,0.308,0.131,264,0.882728704344236
"265","TCF12",0.483,0.315,0.74,0.465,0.308,0.132,265,0.87942606879415
"266","RUNX2",0.629,0.265,1.643,0.41,0.308,0.132,266,0.87942606879415
"267","TSC22D4",0.463,0.322,1.633,0.415,0.311,0.136,267,0.866461091629782
"268","ZNF768",0.658,0.255,1.685,0.403,0.313,0.138,268,0.860120913598763
"269","ZNF35",0.731,0.232,1.417,0.411,0.313,0.138,269,0.860120913598763
"270","RELA",0.401,0.344,-0.12,0.525,0.313,0.139,270,0.856985199745905
"271","NFIL3",0.737,0.23,1.359,0.411,0.313,0.139,271,0.856985199745905
"272","PRKDC",0.698,0.243,0.869,0.44,0.315,0.14,272,0.853871964321762
"273","RUNX3",0.776,0.219,1.197,0.415,0.315,0.141,273,0.85078088734462
"274","HMG20A",0.818,0.207,1.066,0.42,0.315,0.141,274,0.85078088734462
"275","ZNF2",0.839,0.201,0.602,0.44,0.317,0.143,275,0.844663962534938
"276","ESCO2",0.84,0.2,0.976,0.422,0.319,0.146,276,0.835647144215563
"277","SMARCB1",0.987,0.162,0.234,0.442,0.32,0.147,277,0.832682665251824
"278","HIRA",0.838,0.201,1.32,0.404,0.32,0.147,278,0.832682665251824
"279","ZNF600",0.958,0.169,1.1,0.407,0.321,0.149,279,0.826813731587726
"280","PKNOX1",0.726,0.234,1.684,0.391,0.322,0.15,280,0.823908740944319
"281","MKL2",1.118,0.132,0.454,0.425,0.322,0.15,281,0.823908740944319
"282","ZNF140",0.362,0.359,1.86,0.407,0.324,0.152,282,0.818156412055227
"283","PAX6",0.382,0.351,1.732,0.408,0.327,0.157,283,0.804100347590766
"284","WWTR1",0.932,0.176,1.025,0.407,0.328,0.159,284,0.798602875679548
"285","ZSCAN16",0.23,0.409,0.652,0.476,0.329,0.16,285,0.795880017344075
"286","ZBTB6",0.892,0.186,0.736,0.417,0.331,0.163,286,0.787812395596042
"287","ZNF585A",0.583,0.28,1.627,0.395,0.332,0.164,287,0.785156151952302
"288","SS18",0.527,0.299,0.521,0.453,0.333,0.166,288,0.779891911959945
"289","CUX1",0.657,0.255,1.147,0.412,0.334,0.167,289,0.777283528852417
"290","AHR",0.335,0.369,1.443,0.417,0.335,0.17,290,0.769551078621726
"291","LMO2",0.562,0.287,0.732,0.434,0.336,0.171,291,0.767003889607846
"292","ZNF17",0.439,0.33,2.01,0.383,0.339,0.175,292,0.756961951313706
"293","ETV6",0.796,0.213,1.076,0.406,0.339,0.176,293,0.75448733218585
"294","CENPT",0.408,0.342,2.083,0.38,0.34,0.178,294,0.749579997691106
"295","CNOT3",1.016,0.155,0.606,0.41,0.341,0.178,295,0.749579997691106
"296","ARNT",0.246,0.403,0.942,0.445,0.341,0.179,296,0.747146969020107
"297","ZNF440",0.427,0.335,2.018,0.382,0.341,0.179,297,0.747146969020107
"298","H2AZ",1.345,0.0893,-1.839,0.509,0.342,0.179,298,0.747146969020107
"299","HOXB13",-0.342,0.634,1.122,0.488,0.342,0.179,299,0.747146969020107
"300","ZNF284",0.448,0.327,1.904,0.384,0.343,0.182,300,0.739928612014925
"301","EBNA3",0.725,0.234,1.014,0.41,0.343,0.182,301,0.739928612014925
"302","CBX5",0.371,0.355,1.011,0.431,0.343,0.182,302,0.739928612014925
