"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"290","SON",0.539,0.295,0.742,0.432,0.332,0.164,290,0.785156151952302
"291","ZNF770",0.443,0.329,1.195,0.42,0.332,0.164,291,0.785156151952302
"292","TCF7L2",-0.159,0.563,0.181,0.549,0.332,0.165,292,0.782516055786094
"293","ZNF26",0.314,0.377,1.729,0.405,0.332,0.165,293,0.782516055786094
"294","PBX1",0.334,0.369,1.576,0.412,0.333,0.165,294,0.782516055786094
"295","ZNF697",0.097,0.461,1.539,0.432,0.333,0.165,295,0.782516055786094
"296","ZNF331",0.28,0.39,1.863,0.402,0.333,0.167,296,0.777283528852417
"297","ZBTB48",0.334,0.369,0.446,0.461,0.334,0.168,297,0.774690718274137
"298","PKNOX1",0.484,0.314,1.315,0.41,0.335,0.169,298,0.772113295386326
"299","NR1H2",0.654,0.257,0.639,0.425,0.336,0.171,299,0.767003889607846
"300","ZFP64",0.255,0.399,0.809,0.448,0.339,0.175,300,0.756961951313706
"301","IRF4",0.341,0.367,0.536,0.453,0.34,0.176,301,0.75448733218585
"302","ZSCAN2",0.436,0.332,1.157,0.42,0.34,0.176,302,0.75448733218585
"303","DROSHA",0.467,0.32,-0.684,0.492,0.341,0.178,303,0.749579997691106
"304","WDHD1",0.614,0.27,0.721,0.421,0.341,0.179,304,0.747146969020107
"305","ZNF17",0.278,0.39,1.771,0.401,0.341,0.179,305,0.747146969020107
"306","SIRT6",0.426,0.335,1.172,0.419,0.342,0.18,306,0.744727494896694
"307","ATF7IP",-0.022,0.509,1.554,0.432,0.342,0.18,307,0.744727494896694
"308","LHX2",0.315,0.376,1.088,0.426,0.345,0.185,308,0.732828271596986
"309","ZNF440",0.266,0.395,1.77,0.4,0.345,0.185,309,0.732828271596986
"310","ERG",-0.185,0.573,-0.505,0.592,0.348,0.189,310,0.723538195826756
"311","ZKSCAN1",0.082,0.468,0.735,0.458,0.349,0.191,311,0.718966632752272
"312","AEBP2",0.311,0.378,1.297,0.418,0.349,0.191,312,0.718966632752272
"313","MYNN",0.421,0.337,0.957,0.419,0.351,0.194,313,0.712198270069774
"314","ZNF248",0.22,0.413,1.83,0.395,0.352,0.196,314,0.707743928643524
"315","EGR3",0.455,0.325,0.745,0.422,0.352,0.197,315,0.705533773838407
"316","EBNA3C",0.472,0.319,0.792,0.419,0.354,0.199,316,0.701146923590293
"317","KDM4A",0.624,0.266,-0.028,0.437,0.357,0.205,317,0.688246138944246
"318","ZNF573",0.268,0.394,1.542,0.4,0.359,0.208,318,0.681936665037238
"319","GRHL1",0.436,0.331,0.766,0.42,0.359,0.208,319,0.681936665037238
"320","GRIP1",0.469,0.319,0.891,0.409,0.359,0.209,320,0.679853713888946
"321","ARNT",-0.142,0.556,0.255,0.499,0.36,0.209,321,0.679853713888946
"322","USP49",0.155,0.438,2.062,0.389,0.361,0.211,322,0.675717544702307
"323","ZNF101",0.111,0.456,0.699,0.447,0.363,0.214,323,0.669586226650809
"324","PPARGC1A",0.437,0.331,0.714,0.42,0.363,0.215,324,0.667561540084395
"325","PSIP1",0.189,0.425,0.199,0.463,0.365,0.218,325,0.661543506395395
"326","KDM5B",0.455,0.324,-0.716,0.471,0.365,0.218,326,0.661543506395395
"327","PRDM10",0.55,0.291,0.425,0.414,0.368,0.225,327,0.647817481888638
"328","ZNF366",0.354,0.362,0.429,0.431,0.368,0.225,328,0.647817481888638
"329","ZNF780A",0.227,0.41,1.558,0.396,0.368,0.225,329,0.647817481888638
"330","TTF1",0.359,0.36,1.062,0.405,0.369,0.225,330,0.647817481888638
"331","ZNF429",0.219,0.413,1.585,0.395,0.369,0.225,331,0.647817481888638
"332","MITF",0.031,0.488,0.907,0.436,0.371,0.23,332,0.638272163982407
"333","ZNF600",0.542,0.294,0.372,0.414,0.372,0.23,333,0.638272163982407
"334","MTA2",0.452,0.326,0.612,0.413,0.373,0.234,334,0.630784142589857
"335","FAIRE",-0.301,0.619,0.044,0.517,0.375,0.237,335,0.625251653989896
"336","NIPBL",-0.138,0.555,-0.655,0.53,0.375,0.237,336,0.625251653989896
"337","NFE2L1",0.219,0.413,1.075,0.412,0.376,0.238,337,0.623423042943488
"338","ZNF479",0.336,0.368,0.899,0.408,0.377,0.24,338,0.619788758288394
"339","ZNF467",0.471,0.319,0.257,0.424,0.377,0.24,339,0.619788758288394
"340","SMARCC1",-0.236,0.593,-0.091,0.504,0.382,0.25,340,0.602059991327962
"341","SMARCA4",-0.167,0.566,-0.951,0.555,0.387,0.259,341,0.586700235918748
"342","CREB3L4",0.33,0.371,0.743,0.407,0.388,0.26,342,0.585026652029182
"343","PTRF",0.23,0.409,1.42,0.391,0.388,0.261,343,0.583359492661719
"344","JUND",-0.33,0.63,0.267,0.489,0.389,0.262,344,0.581698708680255
"345","PBX3",-0.234,0.592,-0.423,0.508,0.389,0.263,345,0.580044251510242
"346","HIF1A",-0.299,0.618,0.275,0.481,0.39,0.264,346,0.578396073130169
"347","TTF2",-0.148,0.559,-0.607,0.507,0.391,0.266,347,0.575118363368933
"348","LMO2",-0.003,0.501,0.399,0.437,0.397,0.279,348,0.554395796726402
"349","PCGF2",0.402,0.344,0.502,0.402,0.399,0.281,349,0.55129368009492
"350","RCOR1",0.029,0.489,0.346,0.437,0.401,0.286,350,0.543633966870957
"351","ZNF28",0.3,0.382,0.654,0.404,0.402,0.287,351,0.542118103266008
"352","CEBPA",-0.526,0.7,-0.088,0.518,0.403,0.291,352,0.536107011014093
"353","CBFA2T2",0.23,0.409,0.941,0.396,0.403,0.291,353,0.536107011014093
"354","ZNF362",0.339,0.367,0.577,0.401,0.405,0.294,354,0.531652669587843
"355","NR4A1",0.217,0.414,0.649,0.408,0.405,0.294,355,0.531652669587843
"356","E2F2",0.3,0.382,0.511,0.404,0.407,0.299,356,0.52432881167557
"357","ZNF534",0.375,0.354,0.178,0.413,0.408,0.299,357,0.52432881167557
"358","IKZF2",0.389,0.349,0.311,0.404,0.408,0.301,358,0.521433504406157
"359","RELB",0.234,0.408,0.596,0.404,0.409,0.302,359,0.519993057042849
"360","CNOT3",0.416,0.339,0.074,0.411,0.41,0.304,360,0.517126416391246
"361","ZNF778",-0.045,0.518,0.387,0.431,0.411,0.306,361,0.51427857351842
"362","SOX4",0.314,0.377,0.609,0.398,0.412,0.308,362,0.511449283499556
"363","RUNX3",0.288,0.387,0.458,0.402,0.412,0.309,363,0.510041520575165
"364","BATF3",0.274,0.392,0.538,0.401,0.414,0.313,364,0.504455662453552
"365","WT1",0.373,0.355,0.089,0.411,0.415,0.315,365,0.501689446210399
"366","ZNF788",0.138,0.445,1.211,0.386,0.416,0.315,366,0.501689446210399
"367","ZNF8",-0.105,0.542,0.86,0.414,0.416,0.317,367,0.498940737782249
"368","TCF7L1",-0.069,0.527,0.247,0.437,0.418,0.321,368,0.493494967595128
"369","FOXO1",-0.086,0.534,0.463,0.426,0.418,0.321,369,0.493494967595128
"370","EWSR1",-0.315,0.624,0.347,0.454,0.42,0.324,370,0.489454989793388
"371","POLR2AphosphoS5",0.253,0.4,-0.251,0.422,0.425,0.334,371,0.476253533188435
"372","KLF5",-0.055,0.522,-0.153,0.441,0.426,0.337,372,0.472370099128661
"373","HDGF",-0.084,0.533,0.216,0.43,0.428,0.341,373,0.467245621007502
"374","ZNF93",0.197,0.422,0.711,0.393,0.428,0.342,374,0.465973893943865
"375","KLF3",0.24,0.405,0.366,0.397,0.43,0.346,375,0.460923901207223
"376","LMTK3",-0.128,0.551,0.964,0.4,0.431,0.347,376,0.459670525209126
"377","TRAF7",0.375,0.354,-1.048,0.44,0.431,0.348,377,0.458420756053419
"378","ZNF121",0.246,0.403,0.277,0.401,0.431,0.349,378,0.45717457304082
"379","NFATC3",0.249,0.402,0.327,0.398,0.432,0.349,379,0.45717457304082
"380","ZNF141",0.155,0.438,0.815,0.389,0.432,0.349,380,0.45717457304082
"381","MBD2",-0.565,0.714,-0.961,0.545,0.434,0.355,381,0.449771646944906
"382","ZNF554",0.158,0.437,0.746,0.389,0.435,0.355,382,0.449771646944906
"383","PYGO2",0.11,0.456,0.984,0.381,0.435,0.356,383,0.448550002027125
"384","ZNF808",-0.064,0.525,1.554,0.369,0.438,0.363,384,0.440093374963888
"385","ETV6",-0.163,0.565,0.342,0.423,0.439,0.365,385,0.437707135543525
"386","TRIM24",-0.325,0.628,-0.369,0.463,0.441,0.369,386,0.43297363384094
"387","MEF2D",0.124,0.451,0.745,0.386,0.442,0.371,387,0.430626090384954
"388","HIRA",-0.703,0.759,0.135,0.48,0.444,0.375,388,0.425968732272281
"389","VDR",-0.694,0.756,-0.705,0.53,0.444,0.376,389,0.424812155072339
"390","L3MBTL4",0.283,0.389,-0.14,0.402,0.444,0.376,390,0.424812155072339
"391","RAC3",0.181,0.428,0.483,0.391,0.445,0.378,391,0.422508200162775
"392","DEK",0.078,0.469,-0.468,0.424,0.446,0.38,392,0.42021640338319
"393","ZNF284",0.002,0.499,1.168,0.375,0.448,0.384,393,0.415668775632469
"394","HDAC2",-0.039,0.515,-1.254,0.469,0.449,0.386,394,0.413412695328245
"395","CTBP2",-0.21,0.583,-0.567,0.454,0.449,0.386,395,0.413412695328245
"396","ZNF486",-0.181,0.572,1.623,0.367,0.449,0.387,396,0.412289034981089
"397","ZMIZ1",0.11,0.456,-0.222,0.413,0.45,0.39,397,0.408935392973501
"398","RXRA",-0.947,0.828,-0.476,0.529,0.453,0.395,398,0.40340290437354
"399","RBL1",0.162,0.436,0.359,0.39,0.454,0.397,399,0.401209493236885
"400","TCF21",0.085,0.466,0.368,0.393,0.454,0.398,400,0.400116927926312
"401","EBNA3",0.152,0.44,0.428,0.388,0.454,0.398,401,0.400116927926312
"402","ZEB2",0.237,0.407,-0.042,0.396,0.455,0.399,402,0.399027104313252
"403","BANP",-0.237,0.594,0.571,0.411,0.455,0.401,403,0.396855627379818
"404","ZNF750",0.059,0.477,0.745,0.38,0.456,0.402,404,0.39577394691553
"405","ZNF182",0.107,0.457,0.59,0.384,0.456,0.402,405,0.39577394691553
"406","ZBTB6",0.158,0.437,-0.208,0.404,0.456,0.402,406,0.39577394691553
"407","SP7",0.313,0.377,-0.311,0.396,0.457,0.404,407,0.393618634889395
"408","PTTG1",-0.027,0.511,1.024,0.375,0.458,0.406,408,0.391473966422806
"409","ATF3",-0.627,0.735,-0.738,0.501,0.459,0.409,409,0.388276691992658
"410","L3MBTL2",0.219,0.413,0.145,0.392,0.459,0.409,410,0.388276691992658
"411","NFKB2",0.077,0.469,0.426,0.389,0.459,0.409,411,0.388276691992658
"412","ICE2",0.192,0.424,0.141,0.393,0.461,0.413,412,0.384049948343599
"413","SND1",-0.071,0.529,0.341,0.398,0.462,0.416,413,0.380906669373257
